ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
227337_at	5.7	9.69	-15.87	4.24E-10	2.32E-05	ANKRD37	ankyrin repeat domain 37
201170_s_at	9.16	12.16	-8.01	1.34E-09	3.65E-05	BHLHE40	basic helix-loop-helix family, member e40
202887_s_at	10.36	13.16	-6.99	5.09E-09	9.26E-05	DDIT4	DNA damage inducible transcript 4
1565867_a_at	7.07	4.58	5.62	9.01E-09	0.0001	LOC441155; ZC3H11A	zinc finger CCCH-type domain-containing-like; zinc finger CCCH-type containing 11A
202912_at	8.51	11.91	-10.55	5.22E-08	0.0005	ADM	adrenomedullin
208859_s_at	8.46	6.11	5.09	9.93E-08	0.0005	ATRX	alpha thalassemia/mental retardation syndrome X-linked
212107_s_at	9.14	7.06	4.22	9.73E-08	0.0005	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
215220_s_at	5.94	3.88	4.17	8.63E-08	0.0005	TPR	translocated promoter region, nuclear basket protein
232238_at	7.26	4.68	5.96	6.45E-08	0.0005	ASPM	abnormal spindle microtubule assembly
236207_at	7.43	4.91	5.76	5.42E-08	0.0005	SSFA2	sperm specific antigen 2
242408_at	8.96	6.91	4.14	9.10E-08	0.0005	STYX	serine/threonine/tyrosine interacting protein
243648_at	8.29	6.17	4.35	8.06E-08	0.0005	ZBED6	zinc finger, BED-type containing 6
218839_at	6.08	8.2	-4.34	1.20E-07	0.0005	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
209203_s_at	8	5.87	4.35	1.49E-07	0.0005	BICD2	bicaudal D homolog 2 (Drosophila)
1558028_x_at	8.12	6.16	3.89	1.46E-07	0.0005	LINC00657	long intergenic non-protein coding RNA 657
209189_at	7.81	10.83	-8.11	1.62E-07	0.0006	FOS	FBJ murine osteosarcoma viral oncogene homolog
202843_at	6.62	9.71	-8.55	1.96E-07	0.0006	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
213926_s_at	7.85	5.57	4.85	1.94E-07	0.0006	AGFG1	ArfGAP with FG repeats 1
233827_s_at	10.31	8.37	3.83	1.84E-07	0.0006	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
208624_s_at	10.61	8.64	3.94	2.53E-07	0.0007	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1
230629_s_at	7.58	5.72	3.63	2.91E-07	0.0007	EP400	E1A binding protein p400
1557129_a_at	5.95	4.1	3.61	2.80E-07	0.0007	FAM111B	family with sequence similarity 111, member B
204284_at	8.89	11.06	-4.49	3.54E-07	0.0007	PPP1R3C	protein phosphatase 1, regulatory subunit 3C
206500_s_at	7.08	4.93	4.42	3.27E-07	0.0007	MIS18BP1	MIS18 binding protein 1
214464_at	9.01	7.04	3.92	3.49E-07	0.0007	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
242918_at	6.55	4.18	5.18	3.50E-07	0.0007	NASP	nuclear autoantigenic sperm protein (histone-binding)
236620_at	8.65	6.82	3.55	4.02E-07	0.0008	RIF1	replication timing regulatory factor 1
1557227_s_at	6.42	4.64	3.43	4.05E-07	0.0008	TPR	translocated promoter region, nuclear basket protein
238811_at	6.94	5.17	3.41	4.25E-07	0.0008	ATP11B	ATPase, class VI, type 11B
212105_s_at	6.67	4.78	3.7	4.60E-07	0.0008	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212558_at	7.04	9.06	-4.04	4.80E-07	0.0008	SPRY1	sprouty RTK signaling antagonist 1
201694_s_at	9.91	11.67	-3.39	5.25E-07	0.0009	EGR1	early growth response 1
209257_s_at	8.84	6.71	4.38	5.68E-07	0.0009	SMC3	structural maintenance of chromosomes 3
213286_at	8.07	6.32	3.38	5.63E-07	0.0009	ZFR	zinc finger RNA binding protein
208900_s_at	11.37	8.92	5.46	5.84E-07	0.0009	TOP1	topoisomerase (DNA) I
222439_s_at	11.17	9.26	3.74	6.67E-07	0.0010	THRAP3	thyroid hormone receptor associated protein 3
226897_s_at	9	7.34	3.15	8.67E-07	0.0013	ZC3H7A	zinc finger CCCH-type containing 7A
201466_s_at	7.52	9.16	-3.12	9.58E-07	0.0013	JUN	jun proto-oncogene
209136_s_at	9.11	7.47	3.12	9.67E-07	0.0013	USP10	ubiquitin specific peptidase 10
211993_at	8.52	6.7	3.53	9.88E-07	0.0013	WNK1	WNK lysine deficient protein kinase 1
