ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
200632_s_at	8.85	13.9	-33.11	4.14E-09	2.88E-05	NDRG1	N-myc downstream regulated 1
201313_at	6.13	11.31	-36.19	3.66E-09	2.88E-05	ENO2	enolase 2 (gamma, neuronal)
202672_s_at	7.14	12.03	-29.67	3.89E-09	2.88E-05	ATF3	activating transcription factor 3
202843_at	6.62	11.74	-34.78	3.59E-09	2.88E-05	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202912_at	8.51	13.44	-30.42	3.99E-09	2.88E-05	ADM	adrenomedullin
202973_x_at	4.61	10.3	-51.94	1.44E-09	2.88E-05	FAM13A	family with sequence similarity 13, member A
217047_s_at	5.15	9.95	-27.79	4.21E-09	2.88E-05	FAM13A	family with sequence similarity 13, member A
236180_at	5.3	10.82	-46.16	1.50E-09	2.88E-05		
215446_s_at	3.76	10.27	-91.31	5.33E-09	2.91E-05	LOX	lysyl oxidase
219410_at	6.24	12.53	-78.02	5.23E-09	2.91E-05	TMEM45A	transmembrane protein 45A
231944_at	4.68	9.2	-22.99	7.00E-09	3.47E-05	ERO1B	endoplasmic reticulum oxidoreductase beta
210587_at	4.23	8.75	-23.01	9.06E-09	4.12E-05	INHBE	inhibin beta E
218839_at	6.08	10.76	-25.58	1.16E-08	4.53E-05	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
227337_at	5.7	10.16	-22.01	1.16E-08	4.53E-05	ANKRD37	ankyrin repeat domain 37
212753_at	9.01	4.74	19.28	1.36E-08	4.95E-05	PCGF3	polycomb group ring finger 3
44783_s_at	7.9	12.32	-21.37	1.64E-08	5.28E-05	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
235247_at	10.11	6.05	16.69	1.57E-08	5.28E-05	LOC101927172	uncharacterized LOC101927172
204298_s_at	4.83	10.62	-55.64	2.58E-08	6.70E-05	LOX	lysyl oxidase
209566_at	6.99	10.95	-15.58	2.35E-08	6.70E-05	INSIG2	insulin induced gene 2
219990_at	9.17	5.01	17.88	2.28E-08	6.70E-05	E2F8	E2F transcription factor 8
231202_at	3.99	8.96	-31.19	2.53E-08	6.70E-05	ALDH1L2	aldehyde dehydrogenase 1 family, member L2
209687_at	9.49	5.72	13.61	2.95E-08	7.05E-05	CXCL12	chemokine (C-X-C motif) ligand 12
209987_s_at	8.05	4.41	12.48	3.48E-08	7.05E-05	ASCL1	achaete-scute family bHLH transcription factor 1
209988_s_at	8.93	5.28	12.56	3.31E-08	7.05E-05	ASCL1	achaete-scute family bHLH transcription factor 1
212233_at	5.88	9.51	-12.4	3.34E-08	7.05E-05	MAP1B	microtubule associated protein 1B
228427_at	6	9.66	-12.66	3.38E-08	7.05E-05	FBXO16	F-box protein 16
1554462_a_at	8.07	12.17	-17.11	3.17E-08	7.05E-05	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
213397_x_at	5.47	9.03	-11.81	3.93E-08	7.15E-05	RNASE4	ribonuclease, RNase A family, 4
217168_s_at	9.08	12.64	-11.81	3.86E-08	7.15E-05	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
223475_at	8.09	4.37	13.17	3.89E-08	7.15E-05	CRISPLD1	cysteine-rich secretory protein LCCL domain containing 1
232238_at	7.26	3.73	11.54	4.20E-08	7.17E-05	ASPM	abnormal spindle microtubule assembly
1554452_a_at	9.01	12.63	-12.33	4.13E-08	7.17E-05	HILPDA	hypoxia inducible lipid droplet-associated
238551_at	6.66	10.14	-11.19	4.61E-08	7.63E-05	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
220241_at	5.14	8.75	-12.15	4.91E-08	7.66E-05	TMCO3	transmembrane and coiled-coil domains 3
227295_at	5.55	9.25	-12.99	4.81E-08	7.66E-05	IKBIP	IKBKB interacting protein
202934_at	9.21	12.77	-11.76	5.19E-08	7.87E-05	HK2	hexokinase 2
201170_s_at	9.16	12.54	-10.37	5.99E-08	8.15E-05	BHLHE40	basic helix-loop-helix family, member e40
202842_s_at	10.08	13.53	-10.96	5.86E-08	8.15E-05	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
203821_at	6.23	9.83	-12.1	6.18E-08	8.15E-05	HBEGF	heparin-binding EGF-like growth factor
210095_s_at	8.21	12.32	-17.32	5.63E-08	8.15E-05	IGFBP3	insulin like growth factor binding protein 3
214961_at	4.33	7.87	-11.6	6.44E-08	8.15E-05	MTUS2	microtubule associated tumor suppressor candidate 2
218498_s_at	7.21	11.44	-18.73	5.70E-08	8.15E-05	ERO1A	endoplasmic reticulum oxidoreductase alpha
226084_at	6.07	9.68	-12.17	6.69E-08	8.15E-05	MAP1B	microtubule associated protein 1B
226860_at	9.5	6.15	10.19	6.67E-08	8.15E-05	TMEM19	transmembrane protein 19
240633_at	10.62	6.84	13.75	6.71E-08	8.15E-05	DOK7	docking protein 7
226682_at	3.69	6.98	-9.77	7.00E-08	8.31E-05	RORA	RAR-related orphan receptor A
212689_s_at	9.03	12.49	-11.03	7.21E-08	8.38E-05	KDM3A	lysine (K)-specific demethylase 3A
226279_at	11.53	7.98	11.71	7.68E-08	8.39E-05	PRSS23	protease, serine, 23
228234_at	7.32	10.87	-11.7	7.47E-08	8.39E-05	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
238695_s_at	4.47	8.05	-11.94	7.55E-08	8.39E-05	RAB39B	RAB39B, member RAS oncogene family
210479_s_at	3.81	7.13	-10.04	7.86E-08	8.41E-05	RORA	RAR-related orphan receptor A
201739_at	8.95	5.69	9.57	8.70E-08	8.68E-05	SGK1	serum/glucocorticoid regulated kinase 1
201848_s_at	8.22	11.49	-9.67	8.41E-08	8.68E-05	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
220651_s_at	9.82	6.58	9.47	8.74E-08	8.68E-05	MCM10	minichromosome maintenance 10 replication initiation factor
225750_at	9.7	13.04	-10.13	8.43E-08	8.68E-05	ERO1A	endoplasmic reticulum oxidoreductase alpha
211421_s_at	9.48	5.35	17.55	9.52E-08	9.29E-05	RET	ret proto-oncogene
226390_at	6.75	9.9	-8.85	1.02E-07	9.77E-05	STARD4	StAR-related lipid transfer domain containing 4
202558_s_at	9.25	12.63	-10.41	1.31E-07	0.0001	HSPA13	heat shock protein 70kDa family, member 13
203282_at	10.45	13.53	-8.46	1.47E-07	0.0001	GBE1	glucan (1,4-alpha-), branching enzyme 1
203725_at	8.97	12.04	-8.41	1.24E-07	0.0001	GADD45A	growth arrest and DNA-damage-inducible, alpha
211538_s_at	8.27	5.21	8.34	1.37E-07	0.0001	HSPA2	heat shock 70kDa protein 2
212107_s_at	9.14	5.79	10.16	1.18E-07	0.0001	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
218507_at	10.93	13.92	-7.95	1.44E-07	0.0001	HILPDA	hypoxia inducible lipid droplet-associated
219232_s_at	7.51	10.5	-7.96	1.41E-07	0.0001	EGLN3	egl-9 family hypoxia-inducible factor 3
219936_s_at	6.34	9.42	-8.4	1.26E-07	0.0001	GPR87	G protein-coupled receptor 87
221478_at	9.78	13.06	-9.71	1.37E-07	0.0001	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
223494_at	7.15	10.13	-7.88	1.46E-07	0.0001	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
224345_x_at	10.91	13.93	-8.14	1.36E-07	0.0001	FAM162A	family with sequence similarity 162, member A
224657_at	10.34	13.46	-8.67	1.16E-07	0.0001	ERRFI1	ERBB receptor feedback inhibitor 1
226384_at	7.32	10.36	-8.21	1.27E-07	0.0001	PLPP5	phospholipid phosphatase 5
226886_at	7.43	10.45	-8.11	1.35E-07	0.0001	GFPT1	glutamine--fructose-6-phosphate transaminase 1
229963_at	7.21	10.3	-8.51	1.40E-07	0.0001	BEX5	brain expressed X-linked 5
230075_at	4.9	8.88	-15.69	1.29E-07	0.0001	RAB39B	RAB39B, member RAS oncogene family
230323_s_at	6.42	9.45	-8.17	1.44E-07	0.0001	TMEM45B	transmembrane protein 45B
242669_at	6.78	9.86	-8.44	1.46E-07	0.0001	UFM1	ubiquitin-fold modifier 1
210512_s_at	9.16	12.25	-8.52	1.55E-07	0.0001	VEGFA	vascular endothelial growth factor A
226181_at	5.71	9.02	-9.9	1.61E-07	0.0001	TUBE1	tubulin, epsilon 1
226347_at	7.86	11.33	-11.05	1.63E-07	0.0001		
204780_s_at	6.97	9.89	-7.57	1.69E-07	0.0001	FAS	Fas cell surface death receptor
221050_s_at	7.74	10.65	-7.53	1.73E-07	0.0001	GTPBP2	GTP binding protein 2
230710_at	6.11	9.03	-7.59	1.75E-07	0.0001	MIR210HG	MIR210 host gene
223193_x_at	10.79	13.72	-7.62	1.80E-07	0.0001	FAM162A	family with sequence similarity 162, member A
226348_at	7.95	11.27	-9.94	1.80E-07	0.0001	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
201984_s_at	7.49	10.33	-7.18	2.09E-07	0.0001	EGFR	epidermal growth factor receptor
202364_at	8.12	11.02	-7.48	1.97E-07	0.0001	MXI1	MAX interactor 1, dimerization protein
202733_at	9.48	12.65	-8.99	2.11E-07	0.0001	P4HA2	prolyl 4-hydroxylase, alpha polypeptide II
205909_at	9.98	7.1	7.36	1.95E-07	0.0001	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit
206115_at	8.83	5.95	7.35	1.89E-07	0.0001	EGR3	early growth response 3
221523_s_at	5.06	8.3	-9.45	2.04E-07	0.0001	RRAGD	Ras-related GTP binding D
221787_at	8.82	5.79	8.18	2.09E-07	0.0001	C6orf120	chromosome 6 open reading frame 120
222316_at	5.23	8.17	-7.67	2.07E-07	0.0001		
224953_at	7.17	10.24	-8.4	2.04E-07	0.0001	YIPF5	Yip1 domain family member 5
230265_at	8.73	11.89	-8.93	1.97E-07	0.0001		
240991_at	6.19	9.09	-7.46	2.09E-07	0.0001		
202998_s_at	8.14	11.08	-7.66	2.24E-07	0.0001	LOXL2	lysyl oxidase-like 2
203827_at	8.41	11.48	-8.39	2.22E-07	0.0001	WIPI1	WD repeat domain, phosphoinositide interacting 1
225032_at	9.07	11.91	-7.13	2.20E-07	0.0001	FNDC3B	fibronectin type III domain containing 3B
228482_at	6.73	9.66	-7.61	2.23E-07	0.0001	CDRT4; TVP23C-CDRT4	CMT1A duplicated region transcript 4; TVP23C-CDRT4 readthrough
244841_at	5.31	8.65	-10.12	2.22E-07	0.0001	SEC24A	SEC24 homolog A, COPII coat complex component
232150_at	6.9	9.79	-7.45	2.31E-07	0.0001		
219390_at	6.36	9.29	-7.62	2.37E-07	0.0001	FKBP14	FK506 binding protein 14
227868_at	6.2	9.38	-9.02	2.36E-07	0.0001	LOC154761	family with sequence similarity 115, member C pseudogene
210999_s_at	6.5	9.33	-7.09	2.41E-07	0.0001	GRB10	growth factor receptor bound protein 10
218361_at	9.66	12.54	-7.38	2.42E-07	0.0001	GOLPH3L	golgi phosphoprotein 3-like
202770_s_at	8.26	11.3	-8.21	2.56E-07	0.0001	CCNG2	cyclin G2
224797_at	7.1	10.35	-9.51	2.56E-07	0.0001	ARRDC3	arrestin domain containing 3
228499_at	7.59	11.17	-11.9	2.53E-07	0.0001	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
201294_s_at	5.84	9.59	-13.46	2.62E-07	0.0001	WSB1	WD repeat and SOCS box containing 1
217678_at	7.09	9.88	-6.95	2.62E-07	0.0001	SLC7A11	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11
204497_at	9.73	6.79	7.66	2.76E-07	0.0001	ADCY9	adenylate cyclase 9
235965_at	5.61	9.25	-12.49	2.74E-07	0.0001	BHLHA15	basic helix-loop-helix family, member a15
202887_s_at	10.36	13.1	-6.67	2.81E-07	0.0001	DDIT4	DNA damage inducible transcript 4
239431_at	5.69	8.8	-8.63	2.80E-07	0.0001	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
36711_at	7.9	10.69	-6.95	2.84E-07	0.0001	MAFF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
201702_s_at	9.18	6.25	7.64	3.07E-07	0.0001	PPP1R10	protein phosphatase 1, regulatory subunit 10
201983_s_at	6.28	9.19	-7.5	3.15E-07	0.0001	EGFR	epidermal growth factor receptor
202061_s_at	9.85	12.75	-7.48	3.08E-07	0.0001	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
203279_at	7.82	10.53	-6.57	2.97E-07	0.0001	EDEM1	ER degradation enhancer, mannosidase alpha-like 1
203574_at	8.97	11.74	-6.83	3.07E-07	0.0001	NFIL3	nuclear factor, interleukin 3 regulated
204435_at	9.09	11.81	-6.59	3.06E-07	0.0001	NUP58	nucleoporin 58kDa
204698_at	8.15	10.86	-6.51	3.02E-07	0.0001	ISG20	interferon stimulated exonuclease gene 20kDa
211527_x_at	4.94	7.8	-7.24	3.17E-07	0.0001	VEGFA	vascular endothelial growth factor A
212660_at	9.77	7.07	6.49	3.06E-07	0.0001	JADE2	jade family PHD finger 2
214430_at	12.14	9.45	6.45	3.13E-07	0.0001	GLA	galactosidase, alpha
221479_s_at	8.81	12.04	-9.37	2.88E-07	0.0001	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
226452_at	8.18	10.9	-6.58	2.91E-07	0.0001	PDK1	pyruvate dehydrogenase kinase, isozyme 1
228554_at	10.12	7.42	6.5	3.16E-07	0.0001	PGR	progesterone receptor
211559_s_at	6.9	9.78	-7.33	3.23E-07	0.0001	CCNG2	cyclin G2
201296_s_at	9.21	12.08	-7.3	3.30E-07	0.0001	WSB1	WD repeat and SOCS box containing 1
218437_s_at	5.55	8.32	-6.83	3.30E-07	0.0001	LZTFL1	leucine zipper transcription factor like 1
220012_at	5.69	9.08	-10.47	3.27E-07	0.0001	ERO1B	endoplasmic reticulum oxidoreductase beta
209891_at	8.9	6.22	6.39	3.33E-07	0.0001	SPC25	SPC25, NDC80 kinetochore complex component
218615_s_at	7.82	10.47	-6.29	3.45E-07	0.0001	TMEM39A	transmembrane protein 39A
219551_at	6.39	9.05	-6.32	3.40E-07	0.0001	EAF2	ELL associated factor 2
223070_at	10.34	13.1	-6.76	3.39E-07	0.0001	SELK	selenoprotein K
230659_at	7.23	10.1	-7.29	3.43E-07	0.0001		
236263_at	10.12	7.45	6.35	3.47E-07	0.0001	SHH	sonic hedgehog
201555_at	10.78	8.07	6.54	3.53E-07	0.0001	MCM3	minichromosome maintenance complex component 3
202719_s_at	8.49	11.14	-6.28	3.56E-07	0.0001	TES	testin LIM domain protein
222690_s_at	9.49	12.35	-7.23	3.56E-07	0.0001	TMEM39A	transmembrane protein 39A
202211_at	8.48	11.12	-6.22	3.67E-07	0.0001	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3
200628_s_at	9.04	11.94	-7.47	3.82E-07	0.0001	WARS	tryptophanyl-tRNA synthetase
201010_s_at	10.78	13.58	-6.97	3.85E-07	0.0001	TXNIP	thioredoxin interacting protein
205047_s_at	10.69	13.49	-6.97	3.98E-07	0.0001	ASNS	asparagine synthetase (glutamine-hydrolyzing)
205158_at	5.18	7.86	-6.42	4.03E-07	0.0001	RNASE4	ribonuclease, RNase A family, 4
205637_s_at	5.75	8.52	-6.83	4.02E-07	0.0001	SH3GL3	SH3-domain GRB2-like 3
219888_at	6.72	10.4	-12.84	3.96E-07	0.0001	SPAG4	sperm associated antigen 4
221577_x_at	10.77	13.37	-6.06	4.03E-07	0.0001	GDF15	growth differentiation factor 15
38037_at	5.95	8.83	-7.4	3.99E-07	0.0001	HBEGF	heparin-binding EGF-like growth factor
226352_at	8.43	11.16	-6.63	3.96E-07	0.0001	JMY	junction mediating and regulatory protein, p53 cofactor
228745_at	5.95	8.77	-7.07	3.98E-07	0.0001	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
236266_at	5.22	7.98	-6.77	4.02E-07	0.0001	RORA	RAR-related orphan receptor A
226360_at	7.85	4.55	9.82	4.07E-07	0.0001	ZNRF3	zinc and ring finger 3
239451_at	6.04	8.96	-7.55	4.19E-07	0.0001		
1560622_at	6.88	9.61	-6.62	4.36E-07	0.0002		
204695_at	9.78	7.21	5.94	4.47E-07	0.0002	CDC25A	cell division cycle 25A
1568611_at	6.22	9.01	-6.9	4.47E-07	0.0002		
228863_at	6.81	4.16	6.28	4.51E-07	0.0002	PCDH17	protocadherin 17
202721_s_at	9.57	12.2	-6.17	4.58E-07	0.0002	GFPT1	glutamine--fructose-6-phosphate transaminase 1
204315_s_at	8.81	6.26	5.85	4.63E-07	0.0002	GTSE1	G-2 and S-phase expressed 1
206662_at	7.57	10.79	-9.28	4.71E-07	0.0002	GLRX	glutaredoxin
209383_at	9.79	12.57	-6.85	4.72E-07	0.0002	DDIT3	DNA-damage-inducible transcript 3
229441_at	9.25	6.34	7.51	4.67E-07	0.0002	PRSS23	protease, serine, 23
225283_at	8.58	11.65	-8.4	4.76E-07	0.0002	ARRDC4	arrestin domain containing 4
201968_s_at	8.6	11.13	-5.8	4.84E-07	0.0002	PGM1	phosphoglucomutase 1
213390_at	11.54	9	5.83	5.05E-07	0.0002	ZC3H4	zinc finger CCCH-type containing 4
230738_at	9.26	6.63	6.21	5.06E-07	0.0002		
235461_at	7.01	4.48	5.78	5.08E-07	0.0002	TET2	tet methylcytosine dioxygenase 2
201250_s_at	8.88	11.48	-6.03	5.29E-07	0.0002	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
223982_s_at	9.38	11.95	-5.97	5.24E-07	0.0002	PNPLA8	patatin-like phospholipase domain containing 8
226863_at	8.37	11.53	-8.98	5.27E-07	0.0002	FAM110C	family with sequence similarity 110, member C
202769_at	10.61	13.15	-5.81	5.42E-07	0.0002	CCNG2	cyclin G2
222847_s_at	8.19	10.85	-6.35	5.38E-07	0.0002	EGLN3	egl-9 family hypoxia-inducible factor 3
231233_at	7.68	10.18	-5.66	5.43E-07	0.0002	PCAT6	prostate cancer associated transcript 6 (non-protein coding)
231240_at	7.74	5.24	5.63	5.47E-07	0.0002	DIO2	deiodinase, iodothyronine, type II
209921_at	9.19	11.69	-5.69	5.55E-07	0.0002	SLC7A11	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11
202022_at	7.73	12.19	-22.12	5.66E-07	0.0002	ALDOC	aldolase C, fructose-bisphosphate
209122_at	9.23	12.43	-9.2	5.63E-07	0.0002	PLIN2	perilipin 2
236429_at	6.6	4.1	5.66	5.67E-07	0.0002		
227027_at	7.14	9.84	-6.53	5.70E-07	0.0002	GFPT1	glutamine--fructose-6-phosphate transaminase 1
201169_s_at	6.39	8.93	-5.82	5.80E-07	0.0002	BHLHE40	basic helix-loop-helix family, member e40
220942_x_at	11.19	13.66	-5.55	5.86E-07	0.0002	FAM162A	family with sequence similarity 162, member A
208786_s_at	10.77	13.28	-5.72	5.93E-07	0.0002	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
226420_at	6.68	4.11	5.92	5.99E-07	0.0002	MECOM	MDS1 and EVI1 complex locus
236513_at	5.06	7.63	-5.94	6.01E-07	0.0002	PRELID2	PRELI domain containing 2
201586_s_at	11.71	9.25	5.49	6.07E-07	0.0002	SFPQ	splicing factor proline/glutamine-rich
222962_s_at	8.19	5.54	6.26	6.09E-07	0.0002	MCM10	minichromosome maintenance 10 replication initiation factor
238622_at	7.32	9.99	-6.34	6.12E-07	0.0002	RAP2B	RAP2B, member of RAS oncogene family
201582_at	8.8	11.25	-5.47	6.31E-07	0.0002	SEC23B	Sec23 homolog B, COPII coat complex component
224509_s_at	8.67	6.2	5.57	6.31E-07	0.0002	RTN4IP1	reticulon 4 interacting protein 1
225527_at	8.95	11.42	-5.55	6.33E-07	0.0002	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma
210561_s_at	9.55	12.13	-5.98	6.46E-07	0.0002	WSB1	WD repeat and SOCS box containing 1
238444_at	8.04	5.59	5.46	6.45E-07	0.0002	ZNF618	zinc finger protein 618
218696_at	9.06	11.52	-5.48	6.58E-07	0.0002	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3
235532_at	7.32	4.74	5.98	6.65E-07	0.0002		
214804_at	7.62	5	6.13	6.80E-07	0.0002	CENPI	centromere protein I
208624_s_at	10.61	8.17	5.44	7.09E-07	0.0002	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1
209258_s_at	8.57	5.43	8.82	7.30E-07	0.0002	SMC3	structural maintenance of chromosomes 3
213245_at	9.11	6.61	5.65	7.37E-07	0.0002	ADCY1	adenylate cyclase 1 (brain)
215209_at	4.17	6.66	-5.62	7.37E-07	0.0002	SEC24D	SEC24 homolog D, COPII coat complex component
218618_s_at	7.91	10.33	-5.35	7.34E-07	0.0002	FNDC3B	fibronectin type III domain containing 3B
226321_at	8.9	11.4	-5.69	7.32E-07	0.0002	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3
200825_s_at	10.4	12.78	-5.21	7.74E-07	0.0002	HYOU1	hypoxia up-regulated 1
204286_s_at	8.39	10.85	-5.51	7.57E-07	0.0002	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
209357_at	8.52	11.11	-6.01	7.67E-07	0.0002	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
212366_at	6.67	9.11	-5.42	7.71E-07	0.0002	ZNF292	zinc finger protein 292
220240_s_at	7.66	10.6	-7.66	7.62E-07	0.0002	TMCO3	transmembrane and coiled-coil domains 3
33304_at	8.16	10.86	-6.48	7.56E-07	0.0002	ISG20	interferon stimulated exonuclease gene 20kDa
222498_at	7.95	10.33	-5.21	7.66E-07	0.0002	AZI2	5-azacytidine induced 2
204326_x_at	9.27	12.27	-7.98	7.86E-07	0.0002	MT1X	metallothionein 1X
213906_at	9.01	5.76	9.49	7.85E-07	0.0002	MYBL1	v-myb avian myeloblastosis viral oncogene homolog-like 1
219910_at	7.55	9.93	-5.19	7.91E-07	0.0002	FICD	FIC domain containing
211048_s_at	11.08	13.87	-6.9	8.04E-07	0.0002	PDIA4	protein disulfide isomerase family A, member 4
212328_at	5.03	7.43	-5.28	8.05E-07	0.0002	LIMCH1	LIM and calponin homology domains 1
239043_at	4.47	6.91	-5.41	8.11E-07	0.0002	ZNF404	zinc finger protein 404
202130_at	9.51	11.89	-5.2	8.19E-07	0.0002	RIOK3	RIO kinase 3
202375_at	7.83	10.42	-5.99	8.33E-07	0.0002	SEC24D	SEC24 homolog D, COPII coat complex component
212143_s_at	6.4	9.89	-11.24	8.30E-07	0.0002	IGFBP3	insulin like growth factor binding protein 3
