ID	Nomoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
200632_s_at	8.85	13.89	-32.92	5.98E-08	0.0005	NDRG1	N-myc downstream regulated 1
201313_at	6.13	11.28	-35.41	6.28E-08	0.0005	ENO2	enolase 2 (gamma, neuronal)
202022_at	7.73	12.56	-28.6	6.11E-08	0.0005	ALDOC	aldolase C, fructose-bisphosphate
202912_at	8.51	13.33	-28.29	6.70E-08	0.0005	ADM	adrenomedullin
202973_x_at	4.61	10.23	-49.15	4.00E-08	0.0005	FAM13A	family with sequence similarity 13, member A
204298_s_at	4.83	11.06	-75.55	1.78E-08	0.0005	LOX	lysyl oxidase
236180_at	5.3	10.65	-40.92	5.36E-08	0.0005		
211421_s_at	9.48	5.21	19.31	1.78E-07	0.0007	RET	ret proto-oncogene
217047_s_at	5.15	9.77	-24.56	1.75E-07	0.0007	FAM13A	family with sequence similarity 13, member A
219410_at	6.24	12.41	-72.17	1.53E-07	0.0007	TMEM45A	transmembrane protein 45A
219990_at	9.17	4.87	19.73	1.43E-07	0.0007	E2F8	E2F transcription factor 8
227337_at	5.7	10.16	-21.9	1.39E-07	0.0007	ANKRD37	ankyrin repeat domain 37
228262_at	4.18	8.63	-21.91	1.46E-07	0.0007	MAP7D2	MAP7 domain containing 2
215446_s_at	3.76	10.13	-82.79	2.05E-07	0.0008	LOX	lysyl oxidase
202558_s_at	9.25	12.77	-11.42	5.76E-07	0.0012	HSPA13	heat shock protein 70kDa family, member 13
202843_at	6.62	11.53	-30.16	3.98E-07	0.0012	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
205830_at	5.44	9.19	-13.46	3.65E-07	0.0012	CLGN	calmegin
209987_s_at	8.05	4.42	12.38	4.90E-07	0.0012	ASCL1	achaete-scute family bHLH transcription factor 1
210095_s_at	8.21	12.33	-17.39	4.42E-07	0.0012	IGFBP3	insulin like growth factor binding protein 3
220012_at	5.69	9.31	-12.29	4.81E-07	0.0012	ERO1B	endoplasmic reticulum oxidoreductase beta
220936_s_at	7.94	4.3	12.53	5.11E-07	0.0012	H2AFJ	H2A histone family, member J
226084_at	6.07	9.72	-12.49	5.32E-07	0.0012	MAP1B	microtubule associated protein 1B
227295_at	5.55	9.33	-13.76	3.46E-07	0.0012	IKBIP	IKBKB interacting protein
228181_at	7.19	10.79	-12.15	5.26E-07	0.0012	SLC30A1	solute carrier family 30 (zinc transporter), member 1
228427_at	6	9.6	-12.13	4.95E-07	0.0012	FBXO16	F-box protein 16
235247_at	10.11	5.87	18.93	5.66E-07	0.0012	LOC101927172	uncharacterized LOC101927172
202672_s_at	7.14	11.7	-23.67	6.64E-07	0.0012	ATF3	activating transcription factor 3
208937_s_at	10.98	6.95	16.35	6.19E-07	0.0012	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
218498_s_at	7.21	11.4	-18.26	6.79E-07	0.0012	ERO1A	endoplasmic reticulum oxidoreductase alpha
223475_at	8.09	4.41	12.8	6.43E-07	0.0012	CRISPLD1	cysteine-rich secretory protein LCCL domain containing 1
209687_at	9.49	5.58	14.98	7.65E-07	0.0013	CXCL12	chemokine (C-X-C motif) ligand 12
219888_at	6.72	10.49	-13.68	7.82E-07	0.0013	SPAG4	sperm associated antigen 4
201294_s_at	5.84	9.65	-13.95	8.85E-07	0.0013	WSB1	WD repeat and SOCS box containing 1
207543_s_at	10.14	13.56	-10.67	8.30E-07	0.0013	P4HA1	prolyl 4-hydroxylase, alpha polypeptide I
210479_s_at	3.81	7.12	-9.92	9.30E-07	0.0013	RORA	RAR-related orphan receptor A
212689_s_at	9.03	12.48	-10.91	9.19E-07	0.0013	KDM3A	lysine (K)-specific demethylase 3A
212753_at	9.01	5.04	15.65	9.38E-07	0.0013	PCGF3	polycomb group ring finger 3
232238_at	7.26	3.59	12.75	9.08E-07	0.0013	ASPM	abnormal spindle microtubule assembly
238551_at	6.66	10.06	-10.59	9.53E-07	0.0013	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
212107_s_at	9.14	5.86	9.69	9.97E-07	0.0013	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212143_s_at	6.4	10.01	-12.23	1.01E-06	0.0013	IGFBP3	insulin like growth factor binding protein 3
