ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
202843_at	6.62	10.76	-17.66	3.30E-06	0.0243	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202912_at	8.51	12.88	-20.74	1.34E-06	0.0243	ADM	adrenomedullin
209189_at	7.81	11.04	-9.36	3.40E-06	0.0243	FOS	FBJ murine osteosarcoma viral oncogene homolog
226348_at	7.95	11.36	-10.59	2.38E-06	0.0243	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
227285_at	7.24	10.42	-9.05	3.55E-06	0.0243	CIART	circadian associated repressor of transcription
227337_at	5.7	9.99	-19.56	9.88E-07	0.0243	ANKRD37	ankyrin repeat domain 37
228499_at	7.59	11.27	-12.83	1.60E-06	0.0243	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
1554462_a_at	8.07	11.74	-12.77	2.02E-06	0.0243	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
201170_s_at	9.16	12.14	-7.86	9.44E-06	0.0303	BHLHE40	basic helix-loop-helix family, member e40
202770_s_at	8.26	10.78	-5.75	1.08E-05	0.0303	CCNG2	cyclin G2
202842_s_at	10.08	13.13	-8.3	5.85E-06	0.0303	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
209258_s_at	8.57	5.76	7.02	6.39E-06	0.0303	SMC3	structural maintenance of chromosomes 3
210512_s_at	9.16	11.69	-5.77	1.15E-05	0.0303	VEGFA	vascular endothelial growth factor A
212689_s_at	9.03	11.78	-6.75	7.44E-06	0.0303	KDM3A	lysine (K)-specific demethylase 3A
217168_s_at	9.08	12.11	-8.19	6.81E-06	0.0303	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
218507_at	10.93	13.53	-6.09	1.17E-05	0.0303	HILPDA	hypoxia inducible lipid droplet-associated
221009_s_at	7.48	10.02	-5.8	1.06E-05	0.0303	ANGPTL4	angiopoietin like 4
224657_at	10.34	12.96	-6.14	9.09E-06	0.0303	ERRFI1	ERBB receptor feedback inhibitor 1
226347_at	7.86	11.11	-9.51	7.81E-06	0.0303		
226863_at	8.37	11.16	-6.91	8.97E-06	0.0303	FAM110C	family with sequence similarity 110, member C
238551_at	6.66	9.87	-9.24	1.13E-05	0.0303	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
201340_s_at	8.21	5.88	5	1.65E-05	0.0306	ENC1	ectodermal-neural cortex 1 (with BTB domain)
202934_at	9.21	12.19	-7.89	1.48E-05	0.0306	HK2	hexokinase 2
202936_s_at	7.27	9.91	-6.22	1.40E-05	0.0306	SOX9	SRY box 9
202973_x_at	4.61	9.47	-29.03	1.42E-05	0.0306	FAM13A	family with sequence similarity 13, member A
211559_s_at	6.9	9.43	-5.76	1.33E-05	0.0306	CCNG2	cyclin G2
218839_at	6.08	9.25	-8.96	1.62E-05	0.0306	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
230710_at	6.11	8.77	-6.32	1.71E-05	0.0306	MIR210HG	MIR210 host gene
235419_at	6.59	9.15	-5.89	1.26E-05	0.0306		
235857_at	7.66	10.22	-5.9	1.63E-05	0.0306	KCTD11	potassium channel tetramerization domain containing 11
239431_at	5.69	7.99	-4.92	1.74E-05	0.0306	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
208900_s_at	11.37	9.12	4.77	1.93E-05	0.0310	TOP1	topoisomerase (DNA) I
224797_at	7.1	9.44	-5.07	1.92E-05	0.0310	ARRDC3	arrestin domain containing 3
230728_at	6.32	8.58	-4.81	1.93E-05	0.0310	FKBP14	FK506 binding protein 14
201739_at	8.95	6.62	5.02	2.34E-05	0.0312	SGK1	serum/glucocorticoid regulated kinase 1
