ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
227337_at	5.7	9.69	-15.87	4.24E-10	0.0000232	ANKRD37	ankyrin repeat domain 37
201170_s_at	9.16	12.16	-8.01	1.34E-09	0.0000365	BHLHE40	basic helix-loop-helix family, member e40
202887_s_at	10.36	13.16	-6.99	5.09E-09	0.0000926	DDIT4	DNA damage inducible transcript 4
1565867_a_at	7.07	4.58	5.62	0.000000009	0.0001	LOC441155; ZC3H11A	zinc finger CCCH-type domain-containing-like; zinc finger CCCH-type containing 11A
202912_at	8.51	11.91	-10.55	5.22E-08	0.0005	ADM	adrenomedullin
208859_s_at	8.46	6.11	5.09	9.93E-08	0.0005	ATRX	alpha thalassemia/mental retardation syndrome X-linked
212107_s_at	9.14	7.06	4.22	9.73E-08	0.0005	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
215220_s_at	5.94	3.88	4.17	8.63E-08	0.0005	TPR	translocated promoter region, nuclear basket protein
232238_at	7.26	4.68	5.96	6.45E-08	0.0005	ASPM	abnormal spindle microtubule assembly
236207_at	7.43	4.91	5.76	5.42E-08	0.0005	SSFA2	sperm specific antigen 2
242408_at	8.96	6.91	4.14	0.000000091	0.0005	STYX	serine/threonine/tyrosine interacting protein
243648_at	8.29	6.17	4.35	8.06E-08	0.0005	ZBED6	zinc finger, BED-type containing 6
218839_at	6.08	8.2	-4.34	0.00000012	0.0005	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
209203_s_at	8	5.87	4.35	0.000000149	0.0005	BICD2	bicaudal D homolog 2 (Drosophila)
1558028_x_at	8.12	6.16	3.89	0.000000146	0.0005	LINC00657	long intergenic non-protein coding RNA 657
209189_at	7.81	10.83	-8.11	0.000000162	0.0006	FOS	FBJ murine osteosarcoma viral oncogene homolog
202843_at	6.62	9.71	-8.55	0.000000196	0.0006	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
213926_s_at	7.85	5.57	4.85	0.000000194	0.0006	AGFG1	ArfGAP with FG repeats 1
233827_s_at	10.31	8.37	3.83	0.000000184	0.0006	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
208624_s_at	10.61	8.64	3.94	0.000000253	0.0007	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1
230629_s_at	7.58	5.72	3.63	0.000000291	0.0007	EP400	E1A binding protein p400
1557129_a_at	5.95	4.1	3.61	0.00000028	0.0007	FAM111B	family with sequence similarity 111, member B
204284_at	8.89	11.06	-4.49	0.000000354	0.0007	PPP1R3C	protein phosphatase 1, regulatory subunit 3C
206500_s_at	7.08	4.93	4.42	0.000000327	0.0007	MIS18BP1	MIS18 binding protein 1
214464_at	9.01	7.04	3.92	0.000000349	0.0007	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
242918_at	6.55	4.18	5.18	0.00000035	0.0007	NASP	nuclear autoantigenic sperm protein (histone-binding)
236620_at	8.65	6.82	3.55	0.000000402	0.0008	RIF1	replication timing regulatory factor 1
1557227_s_at	6.42	4.64	3.43	0.000000405	0.0008	TPR	translocated promoter region, nuclear basket protein
238811_at	6.94	5.17	3.41	0.000000425	0.0008	ATP11B	ATPase, class VI, type 11B
212105_s_at	6.67	4.78	3.7	0.00000046	0.0008	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212558_at	7.04	9.06	-4.04	0.00000048	0.0008	SPRY1	sprouty RTK signaling antagonist 1
201694_s_at	9.91	11.67	-3.39	0.000000525	0.0009	EGR1	early growth response 1
209257_s_at	8.84	6.71	4.38	0.000000568	0.0009	SMC3	structural maintenance of chromosomes 3
213286_at	8.07	6.32	3.38	0.000000563	0.0009	ZFR	zinc finger RNA binding protein
208900_s_at	11.37	8.92	5.46	0.000000584	0.0009	TOP1	topoisomerase (DNA) I
222439_s_at	11.17	9.26	3.74	0.000000667	0.001	THRAP3	thyroid hormone receptor associated protein 3
226897_s_at	9	7.34	3.15	0.000000867	0.0013	ZC3H7A	zinc finger CCCH-type containing 7A
201466_s_at	7.52	9.16	-3.12	0.000000958	0.0013	JUN	jun proto-oncogene
209136_s_at	9.11	7.47	3.12	0.000000967	0.0013	USP10	ubiquitin specific peptidase 10
211993_at	8.52	6.7	3.53	0.000000988	0.0013	WNK1	WNK lysine deficient protein kinase 1
201702_s_at	9.18	7.54	3.14	0.00000104	0.0014	PPP1R10	protein phosphatase 1, regulatory subunit 10
226675_s_at	10.22	6.76	11.04	0.00000105	0.0014	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
1558747_at	6.16	4.54	3.07	0.00000112	0.0014	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
219158_s_at	9.98	8.36	3.07	0.0000012	0.0015	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
1559954_s_at	8.4	6.77	3.09	0.00000118	0.0015	DDX42	DEAD (Asp-Glu-Ala-Asp) box helicase 42
201464_x_at	8.99	10.59	-3.03	0.00000125	0.0015	JUN	jun proto-oncogene
238013_at	6.25	4.64	3.05	0.00000126	0.0015	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
36711_at	7.9	10.13	-4.71	0.00000131	0.0015	MAFF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
242669_at	6.78	8.44	-3.16	0.00000133	0.0015	UFM1	ubiquitin-fold modifier 1
224568_x_at	8.83	6.28	5.87	0.00000152	0.0016	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
1558924_s_at	8.41	5.87	5.83	0.00000151	0.0016	CLIP1	CAP-GLY domain containing linker protein 1
206758_at	6.77	8.71	-3.84	0.00000177	0.0016	EDN2	endothelin 2
214693_x_at	11.2	9.17	4.08	0.00000176	0.0016	LOC100996763; LOC102724250; NBPF1; NBPF10; NBPF11; NBPF12; NBPF14; NBPF15; NBPF19; NBPF20; NBPF25P; NBPF26; NBPF8; NBPF9	notch homolog 2 N-terminal-like protein; neuroblastoma breakpoint family member 1; neuroblastoma breakpoint family, member 1; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 19; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 25, pseudogene; neuroblastoma breakpoint family, member 26; neuroblastoma breakpoint family, member 8; neuroblastoma breakpoint family, member 9
216222_s_at	6.98	5.28	3.24	0.00000168	0.0016	MYO10	myosin X
223467_at	9.9	11.49	-3	0.00000161	0.0016	RASD1	RAS, dexamethasone-induced 1
224730_at	9.37	7.44	3.81	0.00000174	0.0016	DCAF7	DDB1 and CUL4 associated factor 7
227741_at	10.27	8.53	3.33	0.00000167	0.0016	HACD2	3-hydroxyacyl-CoA dehydratase 2
235009_at	6.13	4.27	3.62	0.00000176	0.0016	BOD1L1	biorientation of chromosomes in cell division 1-like 1
235419_at	6.59	8.32	-3.3	0.00000163	0.0016		
202842_s_at	10.08	12.3	-4.68	0.00000191	0.0017	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202464_s_at	9.27	11.24	-3.92	0.00000217	0.0019	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
218507_at	10.93	12.77	-3.59	0.00000217	0.0019	HILPDA	hypoxia inducible lipid droplet-associated
227510_x_at	8.55	6.77	3.43	0.00000223	0.0019		
213446_s_at	10.4	8.01	5.24	0.00000228	0.0019	IQGAP1	IQ motif containing GTPase activating protein 1
201340_s_at	8.21	6.68	2.88	0.00000235	0.002	ENC1	ectodermal-neural cortex 1 (with BTB domain)
215092_s_at	7.01	5.51	2.83	0.00000251	0.0021	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive
202934_at	9.21	10.98	-3.41	0.0000026	0.0021	HK2	hexokinase 2
235461_at	7.01	4.64	5.19	0.00000261	0.0021	TET2	tet methylcytosine dioxygenase 2
202549_at	8.02	6.03	3.96	0.00000277	0.0021	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
209357_at	8.52	10.4	-3.68	0.00000275	0.0021	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
230180_at	7.21	5.57	3.12	0.00000281	0.0021	DDX17	DEAD (Asp-Glu-Ala-Asp) box helicase 17
235965_at	5.61	7.61	-4.01	0.00000281	0.0021	BHLHA15	basic helix-loop-helix family, member a15
243296_at	6.21	7.7	-2.82	0.00000283	0.0021	NAMPT	nicotinamide phosphoribosyltransferase
210512_s_at	9.16	10.98	-3.53	0.00000298	0.0022	VEGFA	vascular endothelial growth factor A
224797_at	7.1	8.85	-3.38	0.00000317	0.0023	ARRDC3	arrestin domain containing 3
209457_at	6.29	8.12	-3.56	0.00000328	0.0024	DUSP5	dual specificity phosphatase 5
212220_at	6.61	5.15	2.75	0.00000332	0.0024	PSME4	proteasome activator subunit 4
231735_s_at	10.1	8.27	3.58	0.00000336	0.0024		
223940_x_at	10.24	7.13	8.62	0.00000371	0.0026	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
242352_at	6.67	5.15	2.87	0.00000388	0.0027	NIPBL	Nipped-B homolog (Drosophila)
207574_s_at	9.4	10.95	-2.94	0.00000407	0.0027	GADD45B	growth arrest and DNA-damage-inducible, beta
209258_s_at	8.57	5.78	6.94	0.00000402	0.0027	SMC3	structural maintenance of chromosomes 3
227285_at	7.24	9.66	-5.32	0.00000429	0.0028	CIART	circadian associated repressor of transcription
236429_at	6.6	5.11	2.82	0.00000435	0.0028		
221705_s_at	9.09	7.67	2.69	0.00000441	0.0028	SIKE1	suppressor of IKBKE 1
223254_s_at	9.65	8.22	2.68	0.00000485	0.0031	G2E3	G2/M-phase specific E3 ubiquitin protein ligase
1552611_a_at	8.01	6.54	2.77	0.00000517	0.0032	JAK1	Janus kinase 1
212384_at	7.58	6.12	2.74	0.00000529	0.0032	ATP6V1G2-DDX39B; DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate); DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B
214659_x_at	8.85	7.44	2.66	0.00000531	0.0032	YLPM1	YLP motif containing 1
44783_s_at	7.9	9.7	-3.49	0.00000535	0.0032	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
201182_s_at	8.95	7.56	2.61	0.00000575	0.0034	CHD4	chromodomain helicase DNA binding protein 4
207980_s_at	6.46	8.1	-3.12	0.0000058	0.0034	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
217234_s_at	8.98	7.45	2.89	0.00000576	0.0034	EZR	ezrin
202412_s_at	9.22	7.83	2.62	0.00000608	0.0035	USP1	ubiquitin specific peptidase 1
217878_s_at	9.88	8.05	3.57	0.00000625	0.0036	CDC27	cell division cycle 27
208663_s_at	9.63	8.14	2.81	0.0000066	0.0037	TTC3	tetratricopeptide repeat domain 3
211518_s_at	8.06	9.52	-2.75	0.00000661	0.0037	BMP4	bone morphogenetic protein 4
221765_at	8.27	6.84	2.69	0.00000657	0.0037	UGCG	UDP-glucose ceramide glucosyltransferase
202769_at	10.61	12.24	-3.09	0.00000725	0.004	CCNG2	cyclin G2
221577_x_at	10.77	12.19	-2.66	0.00000733	0.004	GDF15	growth differentiation factor 15
1554462_a_at	8.07	10.58	-5.71	0.00000731	0.004	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
205809_s_at	7.8	6.32	2.8	0.00000774	0.0041	WASL	Wiskott-Aldrich syndrome-like
212689_s_at	9.03	10.89	-3.62	0.00000777	0.0041	KDM3A	lysine (K)-specific demethylase 3A
213665_at	6.57	5.2	2.58	0.00000789	0.0041	SOX4	SRY box 4
225557_at	8.2	9.59	-2.62	0.00000789	0.0041	CSRNP1	cysteine-serine-rich nuclear protein 1
239350_at	9.19	7.84	2.55	0.00000786	0.0041	MARVELD3	MARVEL domain containing 3
212720_at	9.24	7.87	2.59	0.00000799	0.0041	PAPOLA	poly(A) polymerase alpha
1558173_a_at	8.11	6.75	2.56	0.00000825	0.0042	LUZP1	leucine zipper protein 1
228315_at	8.47	7.07	2.64	0.00000859	0.0043	ZMAT3	zinc finger, matrin-type 3
235425_at	9.74	8.13	3.04	0.00000865	0.0043	SGOL2	shugoshin-like 2 (S. pombe)
209344_at	10.79	9.39	2.62	0.00000888	0.0044	TPM4	tropomyosin 4
236180_at	5.3	6.76	-2.76	0.00000895	0.0044		
202728_s_at	9.22	7.88	2.53	0.00000909	0.0044	LTBP1	latent transforming growth factor beta binding protein 1
209305_s_at	7.95	9.4	-2.75	0.00000932	0.0044	GADD45B	growth arrest and DNA-damage-inducible, beta
212007_at	10.45	9.12	2.52	0.00000951	0.0044	UBXN4	UBX domain protein 4
219232_s_at	7.51	9.12	-3.05	0.00000936	0.0044	EGLN3	egl-9 family hypoxia-inducible factor 3
221530_s_at	5.5	6.89	-2.63	0.00000944	0.0044	BHLHE41	basic helix-loop-helix family, member e41
212065_s_at	7.7	6.08	3.08	0.00000969	0.0045	USP34	ubiquitin specific peptidase 34
227404_s_at	11.27	12.98	-3.28	0.00000983	0.0045	EGR1	early growth response 1
205027_s_at	5.8	7.13	-2.52	0.00001	0.0046	MAP3K8	mitogen-activated protein kinase kinase kinase 8
200727_s_at	10.58	9.28	2.47	0.0000107	0.0048	ACTR2	ARP2 actin-related protein 2 homolog (yeast)
228483_s_at	6.22	7.52	-2.46	0.0000108	0.0048	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa
217028_at	8.74	10.07	-2.52	0.000011	0.0049	CXCR4	chemokine (C-X-C motif) receptor 4
224657_at	10.34	12.2	-3.64	0.0000116	0.0051	ERRFI1	ERBB receptor feedback inhibitor 1
214374_s_at	6.81	5.09	3.27	0.0000119	0.0052	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)
1557100_s_at	6.28	4.64	3.12	0.000012	0.0052	HECTD1	HECT domain containing E3 ubiquitin protein ligase 1
201299_s_at	8.41	7.01	2.64	0.0000129	0.0055	MOB1A	MOB kinase activator 1A
201867_s_at	8.49	7.01	2.78	0.0000128	0.0055	TBL1X	transducin (beta)-like 1X-linked
202905_x_at	10.28	8.96	2.49	0.000013	0.0055	NBN	nibrin
209024_s_at	11.47	10.19	2.44	0.0000132	0.0055	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
1553106_at	6.24	4.78	2.77	0.0000132	0.0055	C5orf24	chromosome 5 open reading frame 24
233106_at	7.53	6.26	2.41	0.0000136	0.0056	FRMD6-AS1	FRMD6 antisense RNA 1
231875_at	8.76	6.43	5.02	0.0000146	0.006	KIF21A	kinesin family member 21A
218859_s_at	10.11	8.85	2.4	0.0000151	0.0062	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog
211559_s_at	6.9	8.55	-3.13	0.000016	0.0064	CCNG2	cyclin G2
213957_s_at	8.08	6.59	2.81	0.0000158	0.0064	CEP350	centrosomal protein 350kDa
224215_s_at	7.58	9.2	-3.08	0.0000159	0.0064	DLL1	delta-like 1 (Drosophila)
233819_s_at	6.02	4.19	3.56	0.0000164	0.0064	LTN1	listerin E3 ubiquitin protein ligase 1
1563947_a_at	7.46	6.02	2.71	0.0000163	0.0064	ERC1	ELKS/RAB6-interacting/CAST family member 1
203424_s_at	8.91	7.5	2.66	0.000017	0.0066	IGFBP5	insulin like growth factor binding protein 5
1558678_s_at	12.71	9.44	9.69	0.0000173	0.0067	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
212665_at	9.15	10.5	-2.54	0.000018	0.0069	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase
212079_s_at	6.33	5.01	2.5	0.0000185	0.0071	KMT2A	lysine (K)-specific methyltransferase 2A
200835_s_at	8.14	6.64	2.84	0.0000206	0.0078	MAP4	microtubule associated protein 4
240991_at	6.19	7.43	-2.36	0.0000205	0.0078		
219717_at	7.51	6.22	2.45	0.0000212	0.0079	DCAF16	DDB1 and CUL4 associated factor 16
205457_at	8.05	6.83	2.32	0.0000219	0.0081	C6orf106	chromosome 6 open reading frame 106
212794_s_at	10.03	8.75	2.42	0.0000223	0.0082	KIAA1033	KIAA1033
209127_s_at	10.5	8.84	3.15	0.0000237	0.0087	SART3	squamous cell carcinoma antigen recognized by T-cells 3
201101_s_at	10.6	9.24	2.57	0.0000246	0.0089	BCLAF1	BCL2-associated transcription factor 1
222616_s_at	9.15	7.79	2.57	0.0000245	0.0089	USP16	ubiquitin specific peptidase 16
226533_at	7.31	6.09	2.32	0.0000255	0.0092	HINT3	histidine triad nucleotide binding protein 3
202132_at	6.89	5.69	2.29	0.0000261	0.0092	WWTR1	WW domain containing transcription regulator 1
211690_at	9.22	8.02	2.3	0.0000263	0.0092	RPS6	ribosomal protein S6
223200_s_at	9.46	8.21	2.37	0.0000264	0.0092	LSG1	large 60S subunit nuclear export GTPase 1
242260_at	5.99	4.75	2.36	0.0000262	0.0092	MATR3	matrin 3
