ID	Normoxia.Avg..log2.	Hypoxia.Avg..log2.	Fold.Change	P.val	FDR.P.val	Gene.Symbol	Description
1552256_a_at	10.12	10.84	-1.65	0.0025	0.0234	SCARB1	scavenger receptor class B, member 1
1552304_at	6.53	5.49	2.06	4e-04	0.006	ALG10	ALG10, alpha-1,2-glucosyltransferase
1552338_at	6.03	5.1	1.9	8e-04	0.0103	GSC	goosecoid homeobox
1552365_at	4.76	3.67	2.13	0.0016	0.0297	SCIN	scinderin
1552405_at	4.8	5.54	-1.68	0.002	0.0199	NLRP5	NLR family, pyrin domain containing 5
1552427_at	6.61	5.58	2.05	0.0025	0.039	ZNF485	zinc finger protein 485
1552472_a_at	8.16	9.11	-1.93	0.0031	0.0445	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
1552575_a_at	8.87	6.79	4.22	3.29e-05	0.0042	C6orf141	chromosome 6 open reading frame 141
1552621_at	8.47	7.47	2	1e-04	0.0285	POLR2J2; POLR2J3	polymerase (RNA) II (DNA directed) polypeptide J2; polymerase (RNA) II (DNA directed) polypeptide J3
1552767_a_at	9.95	9.25	1.63	0.006	0.0446	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
1552930_at	7.87	9.59	-3.29	2e-04	0.0305	MMEL1	membrane metallo-endopeptidase-like 1
1552937_s_at	7.43	5.8	3.09	4.5e-05	0.0016	ATRIP	ATR interacting protein
1552946_at	7.23	5.86	2.6	4.45e-05	0.0016	ZNF114	zinc finger protein 114
1553180_at	6.66	5.01	3.14	1.37e-05	8e-04	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
1553226_at	7.84	5.92	3.78	5.8e-06	5e-04	LINC00052	long intergenic non-protein coding RNA 52
1553229_at	6.74	5.78	1.93	7e-04	0.009	ZNF572	zinc finger protein 572
1553269_at	6.85	5.54	2.49	6e-04	0.0402	ZNF718	zinc finger protein 718
1553333_at	4.31	6.46	-4.45	1.02e-05	7e-04	MAB21L3	mab-21-like 3 (C. elegans)
1553602_at	9.07	7.69	2.6	5.91e-05	0.0019	MUCL1	mucin-like 1
1553815_a_at	5.39	6.27	-1.84	7e-04	0.0099	TCEANC	transcription elongation factor A (SII) N-terminal and central domain containing
1553861_at	4.32	5.96	-3.1	7e-04	0.0179	TCP11L2	t-complex 11, testis-specific-like 2
1553947_at	7.04	5.8	2.37	7e-04	0.0182	EXOSC6	exosome component 6
1553954_at	7.53	8.44	-1.88	7e-04	0.0094	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit
1553957_at	7.74	8.52	-1.71	0.0026	0.0242	ZNF564	zinc finger protein 564
1553960_at	7.13	6.32	1.75	0.0013	0.0145	SNX21	sorting nexin family member 21
1553970_s_at	5.69	8.49	-6.94	1e-04	0.0075	CEL	carboxyl ester lipase
1553976_a_at	9.89	11.28	-2.64	6.07e-05	0.0019	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)
1553984_s_at	10.92	9.82	2.15	0.0017	0.0175	DTYMK	deoxythymidylate kinase
1553993_s_at	8.25	7.24	2.02	0.0036	0.0304	MED25	mediator complex subunit 25
1554014_at	7.47	9.1	-3.09	1.66e-05	9e-04	CHD2	chromodomain helicase DNA binding protein 2
1554079_at	7.66	9.3	-3.13	1.51e-05	8e-04	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
1554149_at	10.22	11.79	-2.96	4.08e-05	0.0015	CLDND1	claudin domain containing 1
1554185_at	5.26	4.53	1.66	0.0029	0.0264	LOC554206	leucine carboxyl methyltransferase 1 pseudogene
1554271_a_at	8.27	7.44	1.78	0.0023	0.0219	CENPL	centromere protein L
1554283_at	6.19	7.4	-2.31	8e-04	0.0104	NOCT	nocturnin
1554609_at	5.57	4.85	1.65	0.0031	0.0274	LOC100287896	uncharacterized LOC100287896
1554740_a_at	7.55	6.27	2.42	9e-04	0.0469	IPP	intracisternal A particle-promoted polypeptide
1555311_at	7.04	8.15	-2.17	4e-04	0.0063		
1555500_s_at	8.26	6.32	3.84	4e-04	0.0063	SLC2A4RG	SLC2A4 regulator
1555832_s_at	9.25	10.84	-3	1.82e-05	9e-04	KLF6	Kruppel-like factor 6
1555841_at	9.48	11.19	-3.26	4e-04	0.0135	MSANTD3	Myb/SANT-like DNA-binding domain containing 3
1555844_s_at	12.87	11.82	2.07	4e-04	0.0063	HNRNPM	heterogeneous nuclear ribonucleoprotein M
1555870_at	7.15	6.55	1.51	0.0071	0.05	RNF207	ring finger protein 207
1556033_at	6.8	7.99	-2.28	1e-04	0.0027	LINC01138	long intergenic non-protein coding RNA 1138
1556047_s_at	6.93	5.9	2.05	0.0032	0.0461	MAGEE1	MAGE family member E1
1556097_at	3.97	4.76	-1.72	0.0019	0.0192	HOMER2	homer scaffolding protein 2
1556308_at	10.02	8.29	3.32	8.91e-05	0.0065	PRRT3	proline-rich transmembrane protein 3
1556555_at	6.38	5.48	1.86	0.0011	0.013	LYRM4-AS1	LYRM4 antisense RNA 1
1556588_at	7.24	6.16	2.11	0.0019	0.0327	ST20-AS1	ST20 antisense RNA 1
1556616_a_at	5.46	4.73	1.65	0.0028	0.0256	KLHDC4	kelch domain containing 4
1556879_at	4.81	5.42	-1.52	0.0063	0.0462	LOC105370978	uncharacterized LOC105370978
1556911_at	5.48	7.07	-3.02	3.28e-05	0.0013	ALMS1-IT1	ALMS1 intronic transcript 1
1557129_a_at	5.95	4.03	3.79	3.92e-05	0.0404	FAM111B	family with sequence similarity 111, member B
1557167_at	4.64	3.85	1.73	0.0014	0.0156	HCG11	HLA complex group 11 (non-protein coding)
1557277_a_at	5.07	3.78	2.43	6e-04	0.0165	LINC01016	long intergenic non-protein coding RNA 1016
1558105_a_at	7.14	8.21	-2.1	0.0013	0.0144	SLC9A7	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7
