ALKBH5	ENSG00000091542
ANKRD37	ENSG00000186352
BHLHE40	ENSG00000134107
BNIP3	ENSG00000176171
BNIP3L	ENSG00000104765
C4orf3	ENSG00000164096
C8orf58	ENSG00000241852
CLK3	ENSG00000179335
DARS	ENSG00000115866
DDIT4	ENSG00000168209
FAM162A	ENSG00000114023
GBE1	ENSG00000114480
HILPDA	ENSG00000135245
HK2	ENSG00000159399
KDM3A	ENSG00000115548
LDHA	ENSG00000134333
MAP1LC3B	ENSG00000140941
NGLY1	ENSG00000151092
NUP58	ENSG00000139496
P4HA1	ENSG00000122884
PDK1	ENSG00000152256
PFKFB3	ENSG00000170525
PFKFB4	ENSG00000114268
PGK1	ENSG00000102144
PLOD2	ENSG00000152952
PNPLA8	ENSG00000135241
PNRC1	ENSG00000146278
PPFIA4	ENSG00000143847
PPP1R3E	ENSG00000235194
SCD	ENSG00000099194
SLC35E1	ENSG00000127526
TPD52	ENSG00000076554
VKORC1	ENSG00000167397
ZNF292	ENSG00000188994
